title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"T²SQNet: A Recognition Model for Manipulating Partially Observed Transparent Tableware Objects","2024/2025","CoRL 2024 / PMLR 2025","https://proceedings.mlr.press/v270/kim25d.html","method + benchmark/tool","5","5","4","Risk","Closest task-level work: transparent tableware shape recognition and robotic manipulation","Must compare directly; low-dimensional parametric shape is not the same as explicit physical shell interfaces"
"Rethinking Transparent Object Grasping: Depth Completion with Monocular Depth Estimation and Instance Mask","2026","IEEE RA-L / arXiv","https://arxiv.org/abs/2508.02507","pure method","4","4","4","Risk","Closest matched-input depth-completion and grasping baseline","Paper itself motivates hollow-structure failure; full baseline reproduction still needed"
"ASGrasp: Generalizable Transparent Object Reconstruction and 6-DoF Grasp Detection from RGB-D Active Stereo Camera","2024","ICRA","https://arxiv.org/abs/2405.05648","pure method","4","4","4","Risk","Two-layer transparent reconstruction connected to 6-DoF grasping","Stronger active-stereo input; report separately as a system upper bound"
"Trans2Occ: Voxel Occupancy Estimation and Grasp for Transparent Objects from Simulation to Reality","2026","arXiv preprint","https://arxiv.org/abs/2606.01777","pure method","4","3","3","Risk","Single-RGB occupancy and grasping directly threaten representation novelty","Recent preprint; code and full shell behavior require audit"
"Simultaneous Object Reconstruction and Grasp Prediction using a Camera-centric Object Shell Representation","2022","IROS","https://arxiv.org/abs/2109.06837","pure method","4","4","4","Risk","Existing object-shell and grasp representation; creates naming collision","General depth-input object shell uses entry/exit images, not yet proven equivalent to transparent thin-shell semantics"
"Seeing and Seeing Through the Glass: Real and Synthetic Data for Multi-Layer Depth Estimation","2025","ICCV","https://arxiv.org/abs/2503.11633","pure benchmark","5","5","N/A benchmark","A","Primary multi-layer transparent-depth benchmark and generator","Strong public foundation but lacks grasp-specific outer/inner/rim/thickness labels"
"SeeGroup: Multi-Layer Depth Estimation of Transparent Surfaces via Self-Determined Grouping","2026","CVPR 2026 Oral","https://arxiv.org/abs/2605.28735","pure method","5","4","4","Risk","Unordered point-process formulation for per-ray transparent layers","Makes a generic K-layer head insufficient as novelty"
"Modeling Depth Ambiguity: A Mixture-Density Representation for Flying-Point-Free Depth Estimation","2026","arXiv preprint","https://arxiv.org/abs/2606.02552","pure method","4","3","3","Risk","Mixture-density depth hypotheses extended to transparent layers","Recent preprint; avoid claiming multi-modal depth head as novelty"
"DepthFocus: Controllable Depth Estimation for See-Through Scenes","2026","CVPR","https://junhong-3dv.github.io/depthfocus-project/","method + benchmark","5","4","4","Risk","Controllable layer selection conditioned on reference depth","Action- or target-conditioned depth selection alone is not sufficient novelty"
"ClearGrasp: 3D Shape Estimation of Transparent Objects for Manipulation","2020","ICRA","https://arxiv.org/abs/1910.02550","method + benchmark","5","5","5","A","Classic transparent RGB-D depth normal boundary and manipulation baseline","Foundational baseline with public code data and checkpoints"
"RGB-D Local Implicit Function for Depth Completion of Transparent Objects","2021","CVPR","https://openaccess.thecvf.com/content/CVPR2021/html/Zhu_RGB-D_Local_Implicit_Function_for_Depth_Completion_of_Transparent_Objects_CVPR_2021_paper.html","pure method","4","5","5","A","Strong local implicit transparent-depth completion baseline","High-quality numerical evidence and official implementation"
"TransCG: A Large-Scale Real-World Dataset for Transparent Object Depth Completion and a Grasping Baseline","2022","IEEE RA-L / ICRA","https://arxiv.org/abs/2202.08471","method + benchmark","5","5","4","A","Primary real RGB-D dataset and grasping baseline candidate","Mesh preservation of inner walls and physical thickness must be audited"
"Seeing Glass: Joint Point-Cloud and Depth Completion for Transparent Objects","2021/2022","CoRL 2021 / PMLR 2022","https://proceedings.mlr.press/v164/xu22b.html","pure method","4","4","4","B","Joint point-cloud and depth completion shows that point-cloud restoration is mature","Useful baseline and related-work anchor; shell semantics not its stated task"
"GraspNeRF: Multiview-based 6-DoF Grasp Detection for Transparent and Specular Objects Using Generalizable NeRF","2022/2023","CoRL 2022 / PMLR 2023","https://arxiv.org/abs/2210.06575","pure method","4","4","4","B","Strong multiview reconstruction-and-grasping system upper bound","Different sensor and acquisition budget; not a matched-input baseline"
"Where Shall I Touch? Vision-Guided Tactile Poking for Transparent Object Grasping","2023","IEEE/ASME Transactions on Mechatronics","https://arxiv.org/abs/2208.09743","pure method","4","4","4","B","Active tactile route for resolving transparent-object uncertainty","Important fallback if single-view shell recovery proves underdetermined"
